orszagok,ev,fr_ferfi,fr_no,koktatas_ferfi,gyerekek_szama,onfoglal_ferfi,havi_jovedelem,gdp,exp,koktatas_no,onfoglal_no,sza
Románia,2019,74.60,55.40,80.50,1.60,936.50,1120.49,31901.43,90120.20,77.50,335.10,23.80
Románia,2020,74.70,55.40,81.90,1.60,918.30,1178.22,32116.48,81307.90,78.90,325.20,23.40
Spanyolország,2012,64.60,54.60,52.90,1.60,1925.30,2814.00,31720.12,324335.00,56.40,920.50,20.80
Spanyolország,2013,63.40,53.80,53.40,1.50,1937.40,2935.90,32434.00,336333.00,57.50,930.60,20.40
Spanyolország,2014,65.00,54.80,54.80,1.60,1934.30,2928.30,33525.74,345593.00,58.40,934.70,22.20
Spanyolország,2015,67.60,56.40,55.30,1.60,1949.20,2482.20,34903.13,362356.00,59.60,952.10,22.10
Spanyolország,2016,69.60,58.10,55.70,1.60,1944.70,2465.70,37286.21,377370.00,60.90,981.20,22.30
Spanyolország,2017,71.50,59.60,56.50,1.60,1958.40,2517.50,39528.93,408390.00,61.70,962.00,21.60
Spanyolország,2018,73.10,61.00,57.20,1.60,1939.40,2655.80,40696.39,423097.00,63.00,967.40,21.50
Spanyolország,2019,74.00,62.10,58.30,1.60,1926.10,2545.20,41696.31,434967.00,64.30,986.10,20.70
Spanyolország,2020,71.40,60.00,59.80,1.60,1905.00,2520.20,37765.80,343551.00,65.90,987.10,21.00
Svédország,2012,81.60,76.10,81.90,1.70,300.10,4540.10,45432.43,193635.10,82.90,113.70,15.20
Svédország,2013,81.90,76.40,82.50,1.80,304.30,4807.00,46312.39,187905.00,83.90,120.00,16.00
Svédország,2014,81.80,76.90,82.80,1.80,295.60,4664.90,47184.67,189866.60,84.70,118.90,15.60
Svédország,2015,82.20,77.60,83.20,1.80,291.60,3889.60,49103.13,199355.30,85.50,120.60,16.30
Svédország,2016,82.70,78.40,84.30,1.80,288.80,3926.20,50430.25,199056.10,85.80,120.20,16.20
Svédország,2017,83.40,79.00,84.50,1.80,295.60,4025.70,51947.95,209937.80,86.20,118.20,15.80
Svédország,2018,84.10,79.40,84.50,1.80,303.60,4077.50,53521.63,215017.90,86.90,116.50,16.40
Svédország,2019,84.00,78.90,84.70,1.80,313.10,3862.40,54598.78,227987.60,87.60,116.30,17.10
Svédország,2020,82.80,77.40,85.40,1.80,300.60,4063.50,55037.72,212050.30,87.60,114.10,16.10
